id,investment_id,user_id,platform,flow_type,flow_direction,gross_amount,net_amount,tax_amount,capital_amount,interest_amount,transaction_date,status,description,payment_method,created_at
ceb44501-80a2-4182-9ed8-e4018ea0e365,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.92,0.92,0.00,0.00,0.00,2025-06-18,completed,Echéance n°2 prélevée - Boch 22 / Boch22 #4 - Chapelle BlanchePart capital : 0.00Part intérêt : 0.92,,2025-07-14 01:12:51.072762+00
1c5ce7f4-dc59-4cd2-b4f0-e2a6025931fa,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.42,0.42,0.00,0.00,0.00,2025-06-18,completed,Echéance n°10 prélevée - DMF Invest / DMF INVEST #4 Part capital : 0.00Part intérêt : 0.42,,2025-07-14 01:12:51.072762+00
1fd5f125-48f2-4f2d-954c-761551d97da7,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.38,1.38,0.00,0.00,0.00,2025-06-18,completed,Echéance n°22 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.38,,2025-07-14 01:12:51.072762+00
06965da0-f450-4561-80cd-c0ead9147fb3,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.44,0.44,0.00,0.00,0.00,2025-06-03,completed,Echéance n°28 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 0.44Part intérêt : 0.00,,2025-07-14 01:12:51.072762+00
c1ccc0c0-1541-49bc-a477-fe076d8b2955,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.38,1.38,0.00,0.00,0.00,2025-05-19,completed,Echéance n°21 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.38,,2025-07-14 01:12:51.072762+00
c9e56843-aab7-4aaa-92f7-d2a0305e54f7,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.90,1.90,0.00,0.00,0.00,2025-05-19,completed,Echéance n°1 prélevée - Boch 22 / Boch22 #4 - Chapelle BlanchePart capital : 0.00Part intérêt : 1.90,,2025-07-14 01:12:51.072762+00
81aebf03-444d-425f-a094-47a6774adacf,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.42,0.42,0.00,0.00,0.00,2025-05-19,completed,Echéance n°9 prélevée - DMF Invest / DMF INVEST #4 Part capital : 0.00Part intérêt : 0.42,,2025-07-14 01:12:51.072762+00
f8a4252a-8596-43ed-a64b-b680e6598728,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.44,0.44,0.00,0.00,0.00,2025-05-14,completed,Echéance n°28 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 0.44Part intérêt : 0.00,,2025-07-14 01:12:51.072762+00
20fc876a-d79e-4917-8f4f-46d9f8043ef7,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.38,1.38,0.00,0.00,0.00,2025-04-18,completed,Echéance n°20 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.38,,2025-07-14 01:12:51.072762+00
d7296563-1bc5-4530-a373-bacd57464b55,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.42,0.42,0.00,0.00,0.00,2025-04-18,completed,Echéance n°8 prélevée - DMF Invest / DMF INVEST #4 Part capital : 0.00Part intérêt : 0.42,,2025-07-14 01:12:51.072762+00
fcce481a-8078-4c1b-869e-650ee496e56c,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,repayment,in,224.00,224.00,0.00,0.00,0.00,2025-04-03,completed,Remboursement anticipé - Riverparc Patrimoine / Riverparc PatrimoinePart capital : 224.00Part intérêt : 0.00,,2025-07-14 01:12:51.072762+00
0fde2f0f-03b0-470e-b628-320d844cf460,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.77,1.77,0.00,0.00,0.00,2025-04-03,completed,Echéance n°11 prélevée - Riverparc Patrimoine / Riverparc PatrimoinePart capital : 0.00Part intérêt : 1.77,,2025-07-14 01:12:51.072762+00
2108b308-d1e4-4991-90b1-998e0282ea04,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.44,0.44,0.00,0.00,0.00,2025-04-02,completed,Echéance n°28 prélevée - SAS LAVERRIERE / SAS LAVERRIEREPart capital : 0.44Part intérêt : 0.00,,2025-07-14 01:12:51.072762+00
643d03da-90df-4e20-985d-277d0d913a73,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,0.42,0.42,0.00,0.00,0.00,2025-03-18,completed,Echéance n°7 prélevée - DMF Invest / DMF INVEST #4 Part capital : 0.00Part intérêt : 0.42,,2025-07-14 01:12:51.072762+00
80428019-9b36-475f-9b67-2fb1d32b78b2,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.77,1.77,0.00,0.00,0.00,2025-03-18,completed,Echéance n°10 prélevée - Riverparc Patrimoine / Riverparc PatrimoinePart capital : 0.00Part intérêt : 1.77,,2025-07-14 01:12:51.072762+00
d0e0a7e4-57fa-4d51-a2ad-9ed5c7dad88d,,e8bb01e2-454c-4edb-ba99-f1d2b7dcf4b9,PretUp,other,in,1.38,1.38,0.00,0.00,0.00,2025-03-18,completed,Echéance n°19 prélevée - SCALP / SASU SCALP #2Part capital : 0.00Part intérêt : 1.38,,2025-07-14 01:12:51.072762+00
