êchÇance;Date d'ÇchÇance;Montant Ö payer;Part du capital;Part des intÇràts;Part du bonus;Capital restant dñ (apräs paiement);IntÇràts remboursÇs;Bonus versÇ;CSG/CRDS;IR;
1;14/12/2022;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
2;14/01/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
3;14/02/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
4;14/03/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
5;14/04/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
6;14/05/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
7;14/06/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
8;14/07/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
9;14/08/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
10;14/09/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
11;14/10/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
12;14/11/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
13;14/12/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
14;14/01/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
15;14/02/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?;
16;14/03/2024;198,41 ?;125,08 ?;73,33 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;12,61 ?;0,00 ?;
17;14/04/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;
18;14/05/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;
19;14/06/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;
20;14/07/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;
21;14/08/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;
22;14/09/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;
23;14/10/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;
24;14/11/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;
25;14/12/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
26;14/01/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
27;14/02/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
28;14/03/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
29;14/04/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
30;14/05/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
31;14/06/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
32;14/07/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
33;14/08/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
34;14/09/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
35;14/10/2025;0,00 ?;0,00 ?;0,00 ?;0,00 ?;374,92 ?;73,33 ?;0,00 ?;0,00 ?;0,00 ?;prolongation
