Nature de la transaction;Moyen de paiement;D‚tails;Montant;Statut;Date d?ex‚cution
CSG/CRDS;Transfert;;-0,66 ?;R‚ussi;30/06/2025 16:57:50
Pr‚lŠvement IR;Transfert;;-0,49 ?;R‚ussi;30/06/2025 16:57:50
Remboursement mensualit‚ n§17 li‚e au projet L'Europe;Transfert;;30,73 ?;R‚ussi;30/06/2025 16:57:50
Souscription au projet Le Brillant;Transfert;;-500,00 ?;R‚ussi;26/06/2025 10:06:36
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;07/06/2025 05:01:50
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;07/06/2025 05:01:50
Remboursement mensualit‚ n§4 li‚e au projet L?Olympique;Transfert;;5,00 ?;R‚ussi;07/06/2025 05:01:49
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/06/2025 05:18:12
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;06/06/2025 05:18:12
Remboursement mensualit‚ n§13 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/06/2025 05:18:12
R‚mun‚ration code cadeau - La Papalia;Transfert;;5,00 ?;R‚ussi;28/05/2025 11:28:36
CSG/CRDS;Transfert;;-0,71 ?;R‚ussi;28/05/2025 09:21:09
Pr‚lŠvement IR;Transfert;;-0,52 ?;R‚ussi;28/05/2025 09:21:09
Remboursement mensualit‚ n§16 li‚e au projet L'Europe;Transfert;;30,77 ?;R‚ussi;28/05/2025 09:21:08
R‚mun‚ration code cadeau - Le Virtuose ;Transfert;;5,00 ?;R‚ussi;12/05/2025 17:10:51
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;07/05/2025 05:00:24
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;07/05/2025 05:00:23
Remboursement mensualit‚ n§3 li‚e au projet L?Olympique;Transfert;;5,00 ?;R‚ussi;07/05/2025 05:00:23
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/05/2025 08:42:08
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;06/05/2025 08:42:08
Remboursement mensualit‚ n§12 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/05/2025 08:42:07
CSG/CRDS;Transfert;;-10,32 ?;R‚ussi;01/05/2025 10:36:27
Pr‚lŠvement IR;Transfert;;-7,68 ?;R‚ussi;01/05/2025 10:36:27
Remboursement mensualit‚ n§12 li‚e au projet Le Vitton;Transfert;;560,01 ?;R‚ussi;01/05/2025 10:36:26
Souscription au projet L?Humoriste;Transfert;;-500,00 ?;R‚ussi;29/04/2025 15:33:01
Cr‚dit du compte;Carte de cr‚dit;;469,69 ?;R‚ussi;29/04/2025 15:31:24
Cr‚dit du compte;Carte de cr‚dit;;469,69 ?;chec;29/04/2025 15:42:03
CSG/CRDS;Transfert;;-0,75 ?;R‚ussi;29/04/2025 14:25:24
Pr‚lŠvement IR;Transfert;;-0,56 ?;R‚ussi;29/04/2025 14:25:24
Remboursement mensualit‚ n§15 li‚e au projet L'Europe;Transfert;;30,78 ?;R‚ussi;29/04/2025 14:25:23
Souscription au projet La Papalia;Transfert;;-500,00 ?;R‚ussi;17/04/2025 14:07:28
Cr‚dit du compte;Virement bancaire;;452,00 ?;R‚ussi;17/04/2025 12:32:20
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;07/04/2025 05:03:43
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;07/04/2025 05:03:43
Remboursement mensualit‚ n§2 li‚e au projet L?Olympique;Transfert;;5,00 ?;R‚ussi;07/04/2025 05:03:42
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;07/04/2025 05:03:04
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;07/04/2025 05:03:04
Remboursement mensualit‚ n§11 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;07/04/2025 05:03:03
CSG/CRDS;Transfert;;-0,80 ?;R‚ussi;28/03/2025 17:31:52
Pr‚lŠvement IR;Transfert;;-0,60 ?;R‚ussi;28/03/2025 17:31:52
Remboursement mensualit‚ n§14 li‚e au projet L'Europe;Transfert;;30,82 ?;R‚ussi;28/03/2025 17:31:51
R‚mun‚ration code cadeau - Le Arnold;Transfert;;5,00 ?;R‚ussi;14/03/2025 11:31:17
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;07/03/2025 05:00:19
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;07/03/2025 05:00:19
Remboursement mensualit‚ n§1 li‚e au projet L?Olympique;Transfert;;5,00 ?;R‚ussi;07/03/2025 05:00:18
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;06/03/2025 05:05:00
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;06/03/2025 05:05:00
Remboursement mensualit‚ n§10 li‚e au projet Le Coach;Transfert;;5,00 ?;R‚ussi;06/03/2025 05:05:00
Souscription au projet Le Virtuose ;Transfert;;-500,00 ?;R‚ussi;03/03/2025 12:27:00
Cr‚dit du compte;Carte de cr‚dit;;228,00 ?;R‚ussi;03/03/2025 12:26:09
CSG/CRDS;Transfert;;-0,38 ?;R‚ussi;28/02/2025 11:07:23
Pr‚lŠvement IR;Transfert;;-0,28 ?;R‚ussi;28/02/2025 11:07:23
Remboursement mensualit‚ n§21 li‚e au projet L'Ange;Transfert;;110,10 ?;R‚ussi;28/02/2025 11:07:22
CSG/CRDS;Transfert;;-0,86 ?;R‚ussi;25/02/2025 15:42:58
Pr‚lŠvement IR;Transfert;;-0,64 ?;R‚ussi;25/02/2025 15:42:58
Remboursement mensualit‚ n§13 li‚e au projet L'Europe;Transfert;;40,16 ?;R‚ussi;25/02/2025 15:42:57
R‚mun‚ration code cadeau - L?Olympique;Transfert;;5,00 ?;R‚ussi;17/02/2025 17:55:42
CSG/CRDS;Transfert;;-0,19 ?;R‚ussi;14/02/2025 14:26:31
Pr‚lŠvement IR;Transfert;;-0,14 ?;R‚ussi;14/02/2025 14:26:31
Remboursement mensualit‚ n§8 li‚e au projet Le Zola;Transfert;;118,73 ?;R‚ussi;14/02/2025 14:26:30
